timeStamp	elapsed	label	responseCode	responseMessage	threadName	dataType	success	failureMessage	bytes	sentBytes	grpThreads	allThreads	Latency	IdleTime	Connect
1498036412068	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-28	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412167	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-29	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412169	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-29	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412268	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-30	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412269	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-30	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412367	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-31	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412368	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-31	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412468	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-32	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412469	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-32	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412569	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-33	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412571	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-33	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412668	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-34	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412669	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-34	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412770	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-35	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412770	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-35	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412870	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-36	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412871	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-36	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412970	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-37	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036412971	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-37	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036413069	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-38	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
