timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1498028007291,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-19,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007390,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-20,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007390,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-20,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007489,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-21,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007490,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-21,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007589,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-22,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007590,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-22,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007689,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-23,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007690,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-23,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007787,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-24,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007788,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-24,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007883,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-25,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007884,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-25,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
